,best_params,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_f1,val_f1,train_fbeta,test_fbeta,runtime
Logistic Regression,"OrderedDict([('Model__C', 0.01), ('Model__solver', 'saga'), ('Model__penalty', 'l1'), ('Model__max_iter', 1000), ('Model__l1_ratio', 0.75)])",0.6458962797688219,0.6435029167731889,0.8479199471732616,0.8487040385774564,0.280998552334781,0.28206540792307305,0.42211067983260214,0.42341089350825095,0.6041446501729953,0.605448173550343,3691.3980622291565
AdaBoost,"OrderedDict([('Model__algorithm', 'SAMME.R'), ('Model__learning_rate', 0.01), ('Model__n_estimators', 100)])",0.5705077550008522,0.5692704580844586,0.8794128104840758,0.8758288125376733,0.24600366597041648,0.24709833765571193,0.38445993959850777,0.385449481049176,0.5804861693210395,0.5804454209527615,4352.182510137558
